source	target	source.symbol	target.symbol	MI	pearson	spearman	slope	p-value
FGR	LINC01135	FGR	LINC01135	0.2650	0.3941	0.3657	0.4409	0.0000
FGR	LINC01150	FGR	LINC01150	0.1766	0.1656	0.1234	0.2860	0.0824
FGR	LINC01291	FGR	LINC01291	0.2512	0.0494	0.1024	0.2221	0.6069
FGR	LINC01293	FGR	LINC01293	0.1892	0.0438	0.0547	0.1230	0.6477
FGR	LINC01342	FGR	LINC01342	0.1772	0.2937	0.2902	0.5357	0.0018
FGR	LINC01362	FGR	LINC01362	0.2773	0.1240	0.1146	0.2945	0.1949
FGR	LINC01410	FGR	LINC01410	0.1510	0.0212	0.0525	0.0407	0.8254
FGR	LINC01483	FGR	LINC01483	0.1638	0.0687	0.0930	0.0823	0.4739
FGR	LINC01498	FGR	LINC01498	0.2291	-0.2218	-0.2460	-0.2718	0.0193
FGR	LINC01500	FGR	LINC01500	0.2188	0.1660	0.1345	0.1702	0.0816
FGR	LINC01506	FGR	LINC01506	0.2036	-0.0280	-0.0720	-0.0512	0.7706
FGR	LINC01543	FGR	LINC01543	0.2273	0.1651	0.1633	0.1496	0.0834
FGR	LINC01565	FGR	LINC01565	0.2542	-0.4149	-0.4404	-0.5666	0.0000
FGR	LINC01624	FGR	LINC01624	0.2488	0.2679	0.2657	0.4624	0.0045
FGR	LINC01659	FGR	LINC01659	0.2883	0.2057	0.1607	0.3000	0.0303
FGR	LINC01732	FGR	LINC01732	0.1627	0.4346	0.3816	0.7072	0.0000
FGR	LINC01765	FGR	LINC01765	0.2036	0.0959	0.1847	0.1101	0.3167
FGR	LINC01772	FGR	LINC01772	0.3972	0.4160	0.3849	0.3736	0.0000
FGR	LINC01800	FGR	LINC01800	0.4589	0.7523	0.7208	1.2456	0.0000
FGR	LINC01833	FGR	LINC01833	0.2266	0.4367	0.4038	0.7529	0.0000
FGR	LINC01931	FGR	LINC01931	0.1789	0.3286	0.3002	0.7816	0.0004
FGR	LINC01963	FGR	LINC01963	0.1690	0.3492	0.3285	0.3302	0.0002
FGR	LINC01973	FGR	LINC01973	0.1736	0.1160	0.1451	0.1499	0.2253
FGR	LINC02044	FGR	LINC02044	0.2185	0.5615	0.5263	0.6178	0.0000
FGR	LINC02161	FGR	LINC02161	0.1617	0.3065	0.3166	1.2449	0.0011
FGR	LINC02168	FGR	LINC02168	0.2195	0.0788	0.0881	0.0921	0.4110
FGR	LINC02193	FGR	LINC02193	0.1542	0.3577	0.4166	0.3667	0.0001
FGR	LINC02201	FGR	LINC02201	0.3780	0.1638	0.2319	0.2862	0.0858
FGR	LINC02245	FGR	LINC02245	0.1806	0.4003	0.3577	0.5154	0.0000
FGR	LINC02288	FGR	LINC02288	0.1909	-0.2148	-0.2578	-0.2358	0.0236
FGR	LINC02332	FGR	LINC02332	0.3855	0.4015	0.3930	0.3825	0.0000
FGR	LINC02356	FGR	LINC02356	0.1578	-0.0221	-0.0563	-0.0270	0.8175
FGR	LINC02365	FGR	LINC02365	0.2020	0.2855	0.2626	0.7077	0.0024
FGR	LINC02416	FGR	LINC02416	0.1838	0.2082	0.1975	0.5347	0.0283
FGR	LINC02422	FGR	LINC02422	0.1462	0.3209	0.3872	0.5120	0.0006
FGR	LINC02482	FGR	LINC02482	0.2804	0.3897	0.3807	0.5149	0.0000
FGR	LINC02535	FGR	LINC02535	0.1998	0.2874	0.2982	0.5019	0.0022
FGR	LINC02560	FGR	LINC02560	0.1578	0.0067	-0.0389	0.0070	0.9444
FGR	LINC02609	FGR	LINC02609	0.5579	-0.3797	-0.3769	-0.6482	0.0000
FGR	LINC02724	FGR	LINC02724	0.1690	-0.0056	-0.0065	-0.0077	0.9534
FGR	LINC02762	FGR	LINC02762	0.2944	0.3862	0.4302	0.4448	0.0000
FGR	LINC02766	FGR	LINC02766	0.1570	-0.0453	-0.0855	-0.0456	0.6372
FGR	LINC02768	FGR	LINC02768	0.1557	0.3664	0.3754	0.4531	0.0001
FGR	LINC02774	FGR	LINC02774	0.2622	0.2582	0.2938	0.2623	0.0062
FGR	LINC02846	FGR	LINC02846	0.2911	0.2847	0.2492	0.3877	0.0025
FGR	LINC02870	FGR	LINC02870	0.1971	0.2927	0.2881	0.3311	0.0018
FGR	LINC02878	FGR	LINC02878	0.3830	0.2151	0.1960	0.2041	0.0234
FGR	LINC02928	FGR	LINC02928	0.1696	0.0749	0.0390	0.0807	0.4349
FGR	LINC02932	FGR	LINC02932	0.1830	-0.2777	-0.3108	-0.3304	0.0032
FGR	LINC02968	FGR	LINC02968	0.2711	0.1105	0.2241	0.2863	0.2484
FGR	LINC02981	FGR	LINC02981	0.2190	0.4836	0.4039	0.5484	0.0000
FGR	LINC02999	FGR	LINC02999	0.1652	-0.0489	-0.0289	-0.0587	0.6101
